SiteId,Exclusive,OverlapId1,OverlapPercent1,OverlapId2,OverlapPercent2,OverlapId3,OverlapPercent3,OverlapId4,OverlapPercent4
25069,89.2,6591,0.8,57,1.3,4451,0.9,1265,0.9
25906,24.0,43283,5.8,5169,4.8,27135,3.8,41665,5.3
26434,36.1,34945,3.3,35636,4.5,28815,4.8,2149,4.1
27135,10.2,7080,6.4,4296,4.3,3659,4.3,3425,3.4
28815,30.8,3698,3.0,12502,6.0,16617,5.6,1908,3.4
28921,71.9,14456,1.3,5728,1.3
29480,32.0,10848,3.4,5169,3.0,5220,3.0,6673,6.9
30763,67.6,15811,2.4,57,2.0,1321,1.6,2578,2.4
30887,30.8,25906,3.6,3352,3.6,44686,4.1,2241,3.6
31538,40.0,3698,4.5,40377,4.0,7526,5.0,41665,3.0
33364,35.5,46400,3.8,43283,4.7,41665,4.7,40709,4.7
35636,32.4,31538,2.7,7551,4.0,8766,5.8,16617,4.9
36296,55.5,43283,5.3,38732,4.3,44686,3.8,40709,5.7
37041,38.4,43283,2.8,37227,2.4,40377,2.8,40020,2.4
37227,35.2,51674,4.5,52519,6.1,44686,4.1,46400,4.1
37304,53.6,3355,2.2,4964,1.8,28815,3.1,2148,3.6
37589,88.6,33,0.7,11655,0.7,2241,1.0,1288,0.7
38335,95.4,37041,0.6,40377,0.3,28921,0.6,38732,0.3
38732,36.7,46400,3.8,42949,4.2,60887,5.5,41665,4.2
39787,69.0,33364,2.1,41665,1.9,49551,2.1,43502,5.3
40020,56.6,43283,2.2,48905,2.6,58150,2.2,43502,2.9
40377,51.4,31538,3.6,37227,4.1,44686,3.6,49551,2.7
40518,33.5,51674,9.1,33364,4.3,49551,5.7,48905,4.8
40709,33.8,43283,19.9,33364,4.6,42572,4.6,36296,5.6
41665,30.2,42810,4.9,43283,5.3,25906,4.9,6673,5.3
41738,40.6,51674,3.8,43283,3.3,55053,6.3,37227,3.3
41850,71.7,33364,1.8,46400,1.5,38959,2.2,40020,1.8
42572,48.1,43283,4.9,43029,6.8,36296,3.4,40709,4.9
42949,39.4,43283,2.5,38732,4.9,41665,4.9,46400,5.4
43029,67.4,42572,5.3,40709,3.0,44686,1.9,43283,3.4
52519,82.3,51674,1.4,37227,2.9,48905,1.4,49551,1.4
43283,26.2,25906,5.8,41665,5.8,36296,5.3,40709,20.9
43502,52.5,5169,1.9,41665,2.7,10919,1.5,40020,3.0
44478,37.6,43283,4.4,42949,4.4,60887,4.4,44686,4.0
44577,26.1,45128,5.3,60887,10.2,48905,6.2,44686,4.9
44686,32.7,43283,4.5,52070,5.5,60887,5.0,46400,5.9
45128,32.7,64216,6.2,52070,7.1,53689,6.2,46400,6.2
46387,92.7,57,0.3,1338,0.3,1265,0.3,1619,0.3
46400,28.5,45128,5.9,42949,5.0,60887,5.9,44686,5.9
48905,41.4,37227,4.5,60887,5.0,44686,4.1,43283,4.1
