Date, QuestionsPerDay, AnsweredPercent, AvidUsers, TotalUsers, AnswerRatio,VisitsPerDay, Users200, Users2k, Users3k
"2014-05-18", 4.9, 87%, 55, 1463, 2.0, 519, 55, 2, 0
"2014-05-19", 5.2, 87%, 55, 1468, 2.0, 519, 55, 2, 0
