Date, QuestionsPerDay, AnsweredPercent, AvidUsers, TotalUsers, AnswerRatio,VisitsPerDay, Users200, Users2k, Users3k
"2014-05-19", 7.4, 95%, 494, 7562, 1.7, 19481, 494, 63, 42
"2014-05-20", 7.8, 95%, 494, 7593, 1.7, 19658, 494, 64, 42
