Date, QuestionsPerDay, AnsweredPercent, AvidUsers, TotalUsers, AnswerRatio,VisitsPerDay, Users200, Users2k, Users3k
"2014-05-19", 24.7, 78%, 199, 5297, 1.6, 10756, 199, 18, 12
"2014-05-20", 23.6, 79%, 199, 5327, 1.6, 11169, 199, 18, 12
