Date, QuestionsPerDay, AnsweredPercent, AvidUsers, TotalUsers, AnswerRatio,VisitsPerDay, Users200, Users2k, Users3k
"2014-05-19", 5.8, 99%, 483, 7137, 2.8, 8209, 483, 42, 26
"2014-05-20", 6, 99%, 484, 7159, 2.8, 8107, 484, 42, 26
