Date, QuestionsPerDay, AnsweredPercent, AvidUsers, TotalUsers, AnswerRatio,VisitsPerDay, Users200, Users2k, Users3k
"2014-05-19", 5.5, 89%, 169, 3551, 2.1, 6708, 169, 21, 10
"2014-05-20", 5.9, 89%, 170, 3566, 2.1, 6786, 170, 22, 10
