Date, QuestionsPerDay, AnsweredPercent, AvidUsers, TotalUsers, AnswerRatio,VisitsPerDay, Users200, Users2k, Users3k
"2014-05-19", 1.7, 87%, 103, 1928, 1.8, 915, 103, 8, 4
"2014-05-20", 1.6, 87%, 103, 1934, 1.8, 882, 103, 8, 5
