Date, QuestionsPerDay, AnsweredPercent, AvidUsers, TotalUsers, AnswerRatio,VisitsPerDay, Users200, Users2k, Users3k
"2014-05-19", 1.5, 100%, 376, 8137, 4.0, 1656, 376, 11, 9
"2014-05-20", 1.1, 100%, 377, 8149, 4.0, 1599, 377, 11, 9
