Date, QuestionsPerDay, AnsweredPercent, AvidUsers, TotalUsers, AnswerRatio,VisitsPerDay, Users200, Users2k, Users3k
"2014-05-19", 11.5, 89%, 193, 4129, 1.5, 5566, 193, 18, 8
"2014-05-20", 11.7, 89%, 194, 4143, 1.5, 5509, 194, 20, 8
