Date, QuestionsPerDay, AnsweredPercent, AvidUsers, TotalUsers, AnswerRatio,VisitsPerDay, Users200, Users2k, Users3k
"2014-05-19", 10.4, 80%, 279, 6437, 1.7, 4646, 279, 21, 14
"2014-05-20", 10.9, 81%, 280, 6460, 1.7, 4646, 280, 21, 14
