Date, QuestionsPerDay, AnsweredPercent, AvidUsers, TotalUsers, AnswerRatio,VisitsPerDay, Users200, Users2k, Users3k
"2014-05-19", 4.5, 96%, 251, 3121, 1.8, 4726, 251, 23, 14
"2014-05-20", 5.3, 96%, 253, 3133, 1.8, 4824, 253, 23, 14
