Date, QuestionsPerDay, AnsweredPercent, AvidUsers, TotalUsers, AnswerRatio,VisitsPerDay, Users200, Users2k, Users3k
"2014-05-19", 3.2, 95%, 190, 2381, 1.7, 3883, 190, 15, 7
"2014-05-20", 3.1, 95%, 190, 2385, 1.7, 3855, 190, 15, 8
