Date, QuestionsPerDay, AnsweredPercent, AvidUsers, TotalUsers, AnswerRatio,VisitsPerDay, Users200, Users2k, Users3k
"2014-05-19", 8.2, 92%, 253, 10063, 1.6, 3422, 253, 28, 18
"2014-05-20", 7.9, 92%, 255, 10099, 1.6, 3350, 255, 28, 18
