Date, QuestionsPerDay, AnsweredPercent, AvidUsers, TotalUsers, AnswerRatio,VisitsPerDay, Users200, Users2k, Users3k
"2014-05-19", 3.6, 100%, 444, 4987, 2.4, 4996, 444, 45, 28
"2014-05-20", 3.7, 100%, 446, 5003, 2.5, 5072, 446, 45, 28
