Date, QuestionsPerDay, AnsweredPercent, AvidUsers, TotalUsers, AnswerRatio,VisitsPerDay, Users200, Users2k, Users3k
"2014-05-19", 2, 81%, 190, 3708, 1.6, 1296, 190, 13, 8
"2014-05-20", 1.8, 81%, 190, 3714, 1.6, 1261, 190, 13, 8
