Date, QuestionsPerDay, AnsweredPercent, AvidUsers, TotalUsers, AnswerRatio,VisitsPerDay, Users200, Users2k, Users3k
"2014-05-19", 0.3, 99%, 89, 1424, 2.7, 528, 89, 3, 2
"2014-05-20", 0.3, 99%, 90, 1427, 2.7, 524, 90, 3, 2
